year,Price,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,lag5,peek5,lag6,peek6,lag7,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
2017,12.69,15.735,19.382,10.808,20.033,9.655,20.48,9.879,19.827,10.850999999999999,17.733,13.290999999999999,15.853,14.864,12.413,16.687,11.547,17.191,12.015999999999998,16.512999999999998,12.909,15.97,18.047,14.404000000000002,14.404000000000002
2017,13.01,17.576,20.033,15.735,20.48,10.808,19.827,9.655,17.733,9.879,15.853,10.850999999999999,12.413,13.290999999999999,11.547,14.864,12.015999999999998,16.687,12.909,17.191,18.047,16.512999999999998,14.404000000000002,15.97,15.97
2017,13.21,19.382,20.48,17.576,19.827,15.735,17.733,10.808,15.853,9.655,12.413,9.879,11.547,10.850999999999999,12.015999999999998,13.290999999999999,12.909,14.864,18.047,16.687,14.404000000000002,17.191,15.97,16.512999999999998,16.512999999999998
2017,13.11,20.033,19.827,19.382,17.733,17.576,15.853,15.735,12.413,10.808,11.547,9.655,12.015999999999998,9.879,12.909,10.850999999999999,18.047,13.290999999999999,14.404000000000002,14.864,15.97,16.687,16.512999999999998,17.191,17.191
2017,13.19,20.48,17.733,20.033,15.853,19.382,12.413,17.576,11.547,15.735,12.015999999999998,10.808,12.909,9.655,18.047,9.879,14.404000000000002,10.850999999999999,15.97,13.290999999999999,16.512999999999998,14.864,17.191,16.687,16.687
2017,13.3,19.827,15.853,20.48,12.413,20.033,11.547,19.382,12.015999999999998,17.576,12.909,15.735,18.047,10.808,14.404000000000002,9.655,15.97,9.879,16.512999999999998,10.850999999999999,17.191,13.290999999999999,16.687,14.864,14.864
2017,12.84,17.733,12.413,19.827,11.547,20.48,12.015999999999998,20.033,12.909,19.382,18.047,17.576,14.404000000000002,15.735,15.97,10.808,16.512999999999998,9.655,17.191,9.879,16.687,10.850999999999999,14.864,13.290999999999999,13.290999999999999
2017,12.97,15.853,11.547,17.733,12.015999999999998,19.827,12.909,20.48,18.047,20.033,14.404000000000002,19.382,15.97,17.576,16.512999999999998,15.735,17.191,10.808,16.687,9.655,14.864,9.879,13.290999999999999,10.850999999999999,10.850999999999999
2017,12.5,12.413,12.015999999999998,15.853,12.909,17.733,18.047,19.827,14.404000000000002,20.48,15.97,20.033,16.512999999999998,19.382,17.191,17.576,16.687,15.735,14.864,10.808,13.290999999999999,9.655,10.850999999999999,9.879,9.879
2018,12.23,11.547,12.909,12.413,18.047,15.853,14.404000000000002,17.733,15.97,19.827,16.512999999999998,20.48,17.191,20.033,16.687,19.382,14.864,17.576,13.290999999999999,15.735,10.850999999999999,10.808,9.879,9.655,9.655
2018,12.62,12.015999999999998,18.047,11.547,14.404000000000002,12.413,15.97,15.853,16.512999999999998,17.733,17.191,19.827,16.687,20.48,14.864,20.033,13.290999999999999,19.382,10.850999999999999,17.576,9.879,15.735,9.655,10.808,10.808
2018,12.99,12.909,14.404000000000002,12.015999999999998,15.97,11.547,16.512999999999998,12.413,17.191,15.853,16.687,17.733,14.864,19.827,13.290999999999999,20.48,10.850999999999999,20.033,9.879,19.382,9.655,17.576,10.808,15.735,15.735
